id,callerID,agentID,complaintTopic,assignedTo,status,resolutionDurationInHours,callDurationInSeconds,agentsGradeLevel,callType,callEndedByAgent
354,CALLER_354,151,Difficulty getting a refund,144.0,resolved,0,139,E,Inbound,True
355,CALLER_355,158,Product damaged during shipping,125.0,pending,0,105,C,Inbound,True
356,CALLER_356,124,Refund not processed,124.0,closed,25,132,C,Inbound,False
357,CALLER_357,124,Lack of follow-up,136.0,pending,0,63,C,Inbound,False
358,CALLER_358,172,Slow response time,172.0,pending,0,131,F,Outbound,True
359,CALLER_359,176,Refund not processed,176.0,new,0,91,F,Outbound,False
360,CALLER_360,163,Poor communication,163.0,pending,0,147,E,Inbound,True
361,CALLER_361,148,Slow response time,173.0,closed,37,83,C,Outbound,True
362,CALLER_362,127,Poor communication,177.0,pending,0,111,E,Outbound,False
363,CALLER_363,155,Package delivered to wrong address,181.0,new,0,119,E,Inbound,True
364,CALLER_364,153,Misplaced order,153.0,closed,9,92,F,Inbound,True
365,CALLER_365,148,Lack of follow-up,148.0,closed,18,144,F,Outbound,True
366,CALLER_366,174,Product not as described,181.0,resolved,0,114,A,Outbound,False
367,CALLER_367,176,Lost package,176.0,resolved,0,77,F,Outbound,True
368,CALLER_368,124,Package never arrived,124.0,closed,35,69,C,Inbound,True
369,CALLER_369,164,Misplaced order,164.0,closed,24,83,C,Inbound,True
370,CALLER_370,173,Lack of follow-up,164.0,closed,15,84,C,Inbound,True
371,CALLER_371,142,Long wait time,167.0,resolved,0,141,F,Inbound,False
372,CALLER_372,169,Package never arrived,169.0,pending,0,99,E,Inbound,False
373,CALLER_373,176,Product not delivered,132.0,closed,42,124,A,Outbound,True
374,CALLER_374,160,Misplaced order,160.0,resolved,0,86,D,Inbound,False
375,CALLER_375,145,Product not delivered,151.0,resolved,0,92,C,Inbound,False
376,CALLER_376,143,Lack of follow-up,143.0,closed,24,135,D,Inbound,True
377,CALLER_377,178,Incorrect order,178.0,new,0,67,F,Inbound,True
378,CALLER_378,158,Difficulty getting a refund,137.0,pending,0,69,A,Outbound,False
379,CALLER_379,142,Incorrect order,145.0,pending,0,117,C,Inbound,False
380,CALLER_380,146,Package delivered to wrong address,174.0,resolved,0,143,C,Inbound,False
381,CALLER_381,173,Difficulty getting a refund,152.0,closed,5,83,C,Inbound,True
382,CALLER_382,178,Package never arrived,131.0,pending,0,139,C,Inbound,True
383,CALLER_383,165,Inaccurate information provided,165.0,resolved,0,125,C,Outbound,True
384,CALLER_384,132,Poor communication,132.0,closed,12,125,A,Inbound,False
385,CALLER_385,151,Long wait time,171.0,pending,0,109,F,Inbound,False
386,CALLER_386,127,Slow response time,150.0,closed,13,98,E,Inbound,True
387,CALLER_387,142,Long wait time,126.0,resolved,0,136,C,Inbound,True
388,CALLER_388,143,Difficulty getting a refund,143.0,resolved,0,110,A,Inbound,False
389,CALLER_389,175,Difficulty reaching customer support,130.0,pending,0,139,E,Outbound,True
390,CALLER_390,123,Poor communication,169.0,resolved,0,133,A,Inbound,True
391,CALLER_391,167,Refund not processed,152.0,closed,22,104,F,Inbound,True
392,CALLER_392,166,Incorrect charges,159.0,resolved,0,99,C,Outbound,True
393,CALLER_393,152,Poor communication,172.0,pending,0,92,A,Inbound,True
394,CALLER_394,151,Package delivered to wrong address,151.0,pending,0,83,C,Inbound,False
395,CALLER_395,144,Unsatisfactory resolution,126.0,new,0,60,C,Outbound,False
396,CALLER_396,149,Poor communication,156.0,closed,22,139,C,Outbound,True
397,CALLER_397,125,Lost package,175.0,new,0,88,F,Outbound,True
398,CALLER_398,136,Slow response time,155.0,pending,0,86,F,Inbound,True
399,CALLER_399,136,Lack of follow-up,130.0,closed,39,72,D,Inbound,False
400,CALLER_400,152,Shipping delay,152.0,pending,0,148,C,Inbound,True
401,CALLER_401,132,Package delivered to wrong address,177.0,resolved,0,82,C,Outbound,True
402,CALLER_402,132,Rude customer service representative,179.0,pending,0,117,F,Outbound,False
403,CALLER_403,150,Product damaged during shipping,176.0,resolved,0,106,E,Inbound,True
404,CALLER_404,124,Package delivered to wrong address,127.0,resolved,0,68,E,Inbound,True
405,CALLER_405,176,Refund not processed,157.0,closed,31,94,E,Outbound,False
406,CALLER_406,161,Difficulty reaching customer support,129.0,pending,0,141,A,Outbound,False
407,CALLER_407,158,Unresolved issue,158.0,pending,0,94,E,Inbound,True
408,CALLER_408,177,Poor quality product,143.0,closed,47,64,D,Inbound,True
409,CALLER_409,179,Poor quality product,140.0,resolved,0,66,C,Outbound,False
410,CALLER_410,167,Difficulty getting a refund,167.0,pending,0,128,A,Inbound,True
411,CALLER_411,168,Difficulty getting a refund,138.0,pending,0,101,F,Inbound,False
412,CALLER_412,176,Poor quality product,145.0,pending,0,117,C,Inbound,False
413,CALLER_413,122,Lost package,143.0,pending,0,67,A,Inbound,True
414,CALLER_414,175,Package never arrived,149.0,closed,30,142,D,Inbound,True
415,CALLER_415,122,Unsatisfactory resolution,130.0,pending,0,141,D,Inbound,True
416,CALLER_416,152,Wrong item received,158.0,resolved,0,128,F,Outbound,True
417,CALLER_417,161,Package never arrived,156.0,pending,0,123,C,Inbound,False
418,CALLER_418,160,Poor communication,156.0,pending,0,85,E,Inbound,False
419,CALLER_419,144,Inaccurate information provided,178.0,closed,32,76,A,Inbound,True
420,CALLER_420,172,Shipping delay,140.0,resolved,0,106,F,Outbound,True
421,CALLER_421,137,Website not working,148.0,resolved,0,107,D,Outbound,False
422,CALLER_422,160,Refund not processed,160.0,resolved,0,63,A,Inbound,True
423,CALLER_423,122,Inaccurate information provided,133.0,closed,4,126,D,Inbound,True
424,CALLER_424,167,Unhelpful support,158.0,pending,0,119,A,Inbound,True
425,CALLER_425,150,Incorrect order,138.0,pending,0,63,E,Outbound,False
426,CALLER_426,157,Poor communication,157.0,resolved,0,66,A,Inbound,True
427,CALLER_427,164,Refund not processed,165.0,pending,0,77,D,Inbound,False
428,CALLER_428,175,Package delivered to wrong address,140.0,pending,0,131,D,Inbound,False
429,CALLER_429,153,Poor communication,131.0,resolved,0,74,E,Inbound,False
430,CALLER_430,177,Wrong item received,177.0,closed,20,141,E,Outbound,False
431,CALLER_431,167,Product not as described,180.0,pending,0,71,F,Inbound,True
432,CALLER_432,140,Unhelpful support,166.0,pending,0,147,A,Inbound,True
433,CALLER_433,137,Product not as described,137.0,pending,0,111,D,Inbound,True
434,CALLER_434,181,Website not working,181.0,pending,0,102,C,Outbound,True
435,CALLER_435,180,Difficulty getting a refund,180.0,pending,0,104,A,Inbound,True
436,CALLER_436,125,Inaccurate information provided,125.0,pending,0,66,C,Inbound,False
437,CALLER_437,159,Product damaged during shipping,150.0,closed,48,71,C,Inbound,True
438,CALLER_438,132,Unauthorized charges,132.0,pending,0,92,A,Inbound,True
439,CALLER_439,143,Wrong item received,125.0,resolved,0,106,A,Inbound,True
440,CALLER_440,153,Incorrect charges,153.0,pending,0,107,C,Outbound,True
441,CALLER_441,165,Unsatisfactory resolution,146.0,pending,0,82,D,Outbound,False
442,CALLER_442,158,Lost package,158.0,closed,45,70,F,Inbound,True
443,CALLER_443,162,Slow response time,162.0,pending,0,64,E,Inbound,True
444,CALLER_444,154,Unhelpful support,169.0,closed,36,127,A,Outbound,True
445,CALLER_445,157,Billing discrepancy,157.0,pending,0,122,D,Inbound,True
446,CALLER_446,153,Product damaged during shipping,151.0,pending,0,118,A,Inbound,True
447,CALLER_447,128,Wrong item received,173.0,closed,16,88,C,Outbound,True
448,CALLER_448,129,Billing discrepancy,129.0,new,0,63,D,Inbound,False
449,CALLER_449,174,Unprofessional behavior,157.0,closed,10,94,A,Inbound,True
450,CALLER_450,170,Billing discrepancy,130.0,new,0,136,E,Inbound,True
451,CALLER_451,151,Difficulty getting a refund,137.0,new,0,68,A,Outbound,True
452,CALLER_452,174,Long wait time,133.0,pending,0,84,A,Inbound,True
453,CALLER_453,172,Lack of follow-up,172.0,closed,19,140,C,Inbound,True
454,CALLER_454,145,Unauthorized charges,141.0,resolved,0,144,F,Inbound,True
455,CALLER_455,155,Billing discrepancy,147.0,resolved,0,130,A,Inbound,True
456,CALLER_456,145,Inaccurate information provided,145.0,pending,0,105,A,Inbound,False
457,CALLER_457,148,Website not working,123.0,resolved,0,146,D,Inbound,True
458,CALLER_458,124,Incorrect order,160.0,closed,48,61,E,Inbound,True
459,CALLER_459,175,Difficulty getting a refund,136.0,closed,9,61,F,Inbound,True
460,CALLER_460,177,Difficulty cancelling subscription,122.0,pending,0,146,A,Outbound,False
461,CALLER_461,173,Shipping delay,173.0,resolved,0,63,E,Inbound,True
462,CALLER_462,166,Difficulty getting a refund,166.0,closed,9,122,A,Inbound,True
463,CALLER_463,143,Poor communication,143.0,pending,0,111,E,Inbound,True
464,CALLER_464,131,Unresolved issue,131.0,new,0,91,C,Outbound,True
465,CALLER_465,135,Unauthorized charges,181.0,pending,0,116,C,Inbound,True
466,CALLER_466,149,Website not working,149.0,pending,0,67,E,Inbound,False
467,CALLER_467,153,Difficulty getting a refund,134.0,closed,32,121,C,Inbound,False
468,CALLER_468,178,Package never arrived,178.0,new,0,100,F,Inbound,True
469,CALLER_469,132,Inaccurate information provided,132.0,pending,0,102,C,Outbound,False
470,CALLER_470,164,Billing discrepancy,143.0,closed,15,141,C,Outbound,False
471,CALLER_471,172,Difficulty cancelling subscription,172.0,closed,34,91,E,Inbound,True
472,CALLER_472,180,Unsatisfactory resolution,180.0,new,0,125,E,Inbound,False
473,CALLER_473,178,Lost package,178.0,pending,0,140,C,Inbound,False
474,CALLER_474,151,Package delivered to wrong address,167.0,resolved,0,117,C,Inbound,True
475,CALLER_475,144,Poor communication,144.0,closed,15,105,F,Inbound,True
476,CALLER_476,124,Rude customer service representative,135.0,pending,0,136,C,Outbound,True
477,CALLER_477,180,Long wait time,180.0,closed,13,78,D,Outbound,True
478,CALLER_478,125,Difficulty cancelling subscription,123.0,pending,0,61,C,Inbound,True
479,CALLER_479,156,Difficulty reaching customer support,159.0,resolved,0,139,C,Inbound,False
480,CALLER_480,128,Unauthorized charges,145.0,closed,11,101,C,Outbound,True
481,CALLER_481,166,Incorrect charges,166.0,resolved,0,135,A,Outbound,True
482,CALLER_482,161,Rude customer service representative,178.0,pending,0,77,D,Outbound,True
483,CALLER_483,170,Poor quality product,127.0,new,0,139,A,Outbound,True
484,CALLER_484,144,Difficulty reaching customer support,171.0,new,0,101,A,Inbound,False
485,CALLER_485,179,Inaccurate information provided,144.0,new,0,93,A,Inbound,True
486,CALLER_486,161,Unprofessional behavior,158.0,resolved,0,102,F,Inbound,True
487,CALLER_487,132,Difficulty cancelling subscription,151.0,closed,27,110,D,Outbound,True
488,CALLER_488,131,Billing discrepancy,156.0,new,0,127,E,Outbound,False
489,CALLER_489,158,Incorrect charges,134.0,pending,0,130,C,Outbound,False
490,CALLER_490,152,Unauthorized charges,152.0,pending,0,83,E,Inbound,True
491,CALLER_491,132,Difficulty reaching customer support,132.0,resolved,0,94,E,Outbound,False
492,CALLER_492,181,Package delivered to wrong address,155.0,new,0,115,C,Inbound,True
493,CALLER_493,149,Difficulty getting a refund,149.0,resolved,0,83,A,Inbound,True
494,CALLER_494,174,Wrong item received,174.0,new,0,106,E,Inbound,True
495,CALLER_495,137,Unauthorized charges,156.0,pending,0,147,E,Inbound,True
496,CALLER_496,164,Product not delivered,164.0,resolved,0,105,A,Inbound,True
497,CALLER_497,128,Lack of follow-up,128.0,resolved,0,121,E,Inbound,True
498,CALLER_498,149,Lack of follow-up,141.0,new,0,111,A,Outbound,False
499,CALLER_499,134,Long wait time,134.0,resolved,0,87,A,Inbound,False
500,CALLER_500,150,Package delivered to wrong address,156.0,closed,23,121,F,Outbound,True
501,CALLER_501,171,Product not as described,164.0,resolved,0,141,C,Inbound,True
502,CALLER_502,177,Lack of follow-up,126.0,resolved,0,109,D,Outbound,True
503,CALLER_503,141,Lack of follow-up,123.0,pending,0,141,A,Outbound,True
504,CALLER_504,127,Product damaged during shipping,135.0,closed,24,121,C,Inbound,False
505,CALLER_505,173,Billing discrepancy,173.0,closed,34,64,C,Outbound,True
506,CALLER_506,124,Difficulty cancelling subscription,130.0,new,0,133,C,Inbound,False
507,CALLER_507,155,Difficulty cancelling subscription,155.0,new,0,79,C,Outbound,True
508,CALLER_508,169,Shipping delay,166.0,pending,0,146,D,Outbound,True
509,CALLER_509,176,Poor communication,176.0,resolved,0,130,D,Inbound,True
510,CALLER_510,170,Shipping delay,144.0,new,0,71,A,Outbound,True
511,CALLER_511,144,Website not working,144.0,pending,0,138,A,Inbound,True
512,CALLER_512,166,Lost package,166.0,pending,0,61,D,Inbound,False
513,CALLER_513,155,Misplaced order,143.0,pending,0,111,C,Outbound,True
514,CALLER_514,132,Inadequate product instructions,156.0,closed,23,64,D,Inbound,False
515,CALLER_515,178,Incorrect charges,129.0,resolved,0,63,C,Outbound,True
516,CALLER_516,162,Slow response time,162.0,closed,39,148,C,Outbound,False
517,CALLER_517,135,Unhelpful support,162.0,closed,4,125,F,Outbound,False
518,CALLER_518,154,Product not as described,180.0,new,0,128,D,Inbound,True
519,CALLER_519,150,Long wait time,144.0,closed,35,75,F,Inbound,True
520,CALLER_520,170,Slow response time,178.0,pending,0,130,A,Inbound,False
521,CALLER_521,158,Package never arrived,158.0,new,0,126,F,Inbound,True
522,CALLER_522,133,Incorrect order,133.0,closed,46,111,F,Outbound,True
523,CALLER_523,123,Wrong item received,123.0,closed,20,144,F,Inbound,False
524,CALLER_524,150,Inadequate product instructions,150.0,closed,16,60,A,Outbound,True
525,CALLER_525,137,Lack of follow-up,177.0,closed,19,86,D,Outbound,True
526,CALLER_526,146,Difficulty cancelling subscription,166.0,closed,8,137,E,Inbound,True
527,CALLER_527,180,Inadequate product instructions,123.0,new,0,123,C,Outbound,True
528,CALLER_528,150,Inadequate product instructions,125.0,resolved,0,89,C,Inbound,True
529,CALLER_529,168,Inadequate product instructions,130.0,pending,0,86,F,Outbound,True
530,CALLER_530,179,Incorrect charges,179.0,new,0,83,A,Outbound,True
531,CALLER_531,165,Lack of follow-up,165.0,closed,44,120,D,Inbound,False
532,CALLER_532,165,Refund not processed,129.0,resolved,0,133,F,Inbound,True
533,CALLER_533,144,Shipping delay,172.0,pending,0,82,C,Inbound,False
534,CALLER_534,176,Product not as described,140.0,resolved,0,84,A,Inbound,True
535,CALLER_535,162,Wrong item received,152.0,pending,0,145,F,Inbound,False
536,CALLER_536,157,Wrong item received,138.0,closed,26,107,F,Inbound,True
537,CALLER_537,124,Lack of follow-up,124.0,pending,0,126,C,Outbound,True
538,CALLER_538,140,Incorrect charges,157.0,closed,48,111,D,Outbound,False
539,CALLER_539,181,Website not working,123.0,pending,0,109,F,Outbound,False
540,CALLER_540,171,Slow response time,171.0,resolved,0,77,C,Inbound,False
541,CALLER_541,137,Product damaged during shipping,156.0,pending,0,108,F,Inbound,True
542,CALLER_542,153,Wrong item received,123.0,pending,0,61,D,Inbound,True
543,CALLER_543,153,Incorrect charges,153.0,closed,11,107,E,Inbound,True
544,CALLER_544,169,Unauthorized charges,169.0,closed,39,85,A,Inbound,True
545,CALLER_545,176,Inaccurate information provided,178.0,closed,9,117,F,Inbound,True
546,CALLER_546,125,Difficulty reaching customer support,173.0,pending,0,147,A,Outbound,False
547,CALLER_547,165,Inaccurate information provided,165.0,pending,0,66,F,Inbound,True
548,CALLER_548,124,Unprofessional behavior,124.0,pending,0,137,E,Inbound,True
549,CALLER_549,170,Billing discrepancy,133.0,pending,0,72,D,Inbound,True
550,CALLER_550,177,Long wait time,132.0,pending,0,118,C,Outbound,False
551,CALLER_551,145,Website not working,171.0,closed,31,120,C,Inbound,False
552,CALLER_552,149,Product not as described,149.0,closed,37,113,F,Outbound,False
553,CALLER_553,171,Unhelpful support,156.0,resolved,0,86,C,Inbound,True
554,CALLER_554,147,Website not working,147.0,closed,32,117,D,Outbound,True
555,CALLER_555,124,Incorrect order,172.0,pending,0,102,E,Inbound,False
556,CALLER_556,125,Product damaged during shipping,164.0,closed,25,98,C,Inbound,True
557,CALLER_557,142,Unsatisfactory resolution,123.0,new,0,87,C,Inbound,True
558,CALLER_558,181,Long wait time,140.0,pending,0,123,A,Inbound,True
559,CALLER_559,136,Poor communication,136.0,new,0,123,A,Inbound,True
560,CALLER_560,174,Poor quality product,135.0,resolved,0,117,E,Inbound,True
561,CALLER_561,176,Unauthorized charges,176.0,resolved,0,63,F,Outbound,True
562,CALLER_562,141,Product not as described,141.0,new,0,131,A,Inbound,False
563,CALLER_563,157,Package delivered to wrong address,157.0,closed,31,112,F,Outbound,False
564,CALLER_564,170,Unresolved issue,126.0,new,0,95,F,Inbound,False
565,CALLER_565,172,Incorrect order,152.0,pending,0,108,C,Outbound,True
566,CALLER_566,141,Incorrect charges,141.0,closed,19,74,F,Outbound,True
567,CALLER_567,157,Inadequate product instructions,157.0,closed,14,144,E,Inbound,True
568,CALLER_568,154,Lost package,163.0,closed,39,142,D,Inbound,False
569,CALLER_569,178,Package never arrived,178.0,pending,0,106,D,Outbound,True
570,CALLER_570,131,Difficulty getting a refund,173.0,pending,0,146,E,Inbound,True
571,CALLER_571,141,Incorrect charges,167.0,resolved,0,88,C,Inbound,True
572,CALLER_572,126,Product not delivered,154.0,closed,23,62,A,Inbound,False
573,CALLER_573,137,Shipping delay,137.0,closed,16,107,D,Inbound,False
574,CALLER_574,147,Lack of follow-up,147.0,closed,33,100,F,Inbound,False
575,CALLER_575,180,Wrong item received,175.0,closed,25,113,F,Outbound,False
576,CALLER_576,153,Long wait time,180.0,closed,42,119,C,Inbound,False
577,CALLER_577,159,Unsatisfactory resolution,159.0,new,0,62,E,Outbound,False
578,CALLER_578,172,Lost package,172.0,closed,32,72,D,Inbound,True
579,CALLER_579,166,Wrong item received,177.0,closed,7,129,A,Inbound,True
580,CALLER_580,130,Wrong item received,130.0,pending,0,72,A,Inbound,False
581,CALLER_581,131,Product not delivered,168.0,closed,31,112,C,Outbound,False
582,CALLER_582,130,Unsatisfactory resolution,130.0,closed,36,132,C,Inbound,False
583,CALLER_583,147,Unsatisfactory resolution,145.0,new,0,137,D,Inbound,True
584,CALLER_584,158,Shipping delay,158.0,pending,0,95,E,Inbound,False
585,CALLER_585,144,Billing discrepancy,152.0,closed,45,107,A,Inbound,True
586,CALLER_586,154,Incorrect charges,154.0,closed,43,135,C,Inbound,True
587,CALLER_587,139,Unauthorized charges,139.0,pending,0,96,D,Inbound,False
588,CALLER_588,164,Inaccurate information provided,147.0,pending,0,71,D,Inbound,True
589,CALLER_589,142,Lack of follow-up,143.0,new,0,111,D,Inbound,False
590,CALLER_590,152,Rude customer service representative,154.0,pending,0,139,F,Outbound,True
591,CALLER_591,129,Incorrect charges,181.0,closed,36,117,E,Inbound,True
592,CALLER_592,127,Difficulty reaching customer support,152.0,closed,23,75,E,Inbound,True
593,CALLER_593,171,Inadequate product instructions,144.0,new,0,133,E,Inbound,True
594,CALLER_594,121,Package never arrived,158.0,pending,0,60,D,Inbound,True
595,CALLER_595,180,Difficulty getting a refund,180.0,new,0,105,F,Inbound,True
596,CALLER_596,137,Unhelpful support,169.0,new,0,147,E,Outbound,True
597,CALLER_597,159,Slow response time,159.0,resolved,0,90,A,Inbound,True
598,CALLER_598,148,Shipping delay,150.0,pending,0,89,F,Outbound,True
599,CALLER_599,161,Website not working,148.0,pending,0,146,D,Inbound,False
600,CALLER_600,127,Wrong item received,149.0,resolved,0,103,C,Outbound,False
